Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
127,0; 1,4989700694630367E8; 2,401295064546883E8; 6,7482150224514145E10; 9,999004865061682E11; 
128,0; 1,6331077342866015E8; 9,360129506454681E9; 6,76454609979428E10; 1,0092606160126229E12; 
129,0; 1,4834379649437377E8; 2,401295064546883E8; 6,779380479443718E10; 1,0095007455190776E12; 
130,0; 1,4880618303882277E8; 2,400518025818818E8; 6,7942610977476006E10; 1,0097407973216595E12; 
131,0; 1,6222829594193926E8; 9,360051802581652E9; 6,8104839273417946E10; 1,0191008491242412E12; 
132,0; 1,5026269667395025E8; 2,400518025818818E8; 6,8255101970091896E10; 1,0193409009268231E12; 
133,0; 1,6498521586294425E8; 9,360129506454681E9; 6,842008718595484E10; 1,0287010304332778E12; 
134,0; 1,4814304720698544E8; 2,400518025818818E8; 6,856823023316183E10; 1,0289410822358597E12; 
135,0; 1,6287879548176482E8; 9,360129506454681E9; 6,873110902864359E10; 1,0383012117423145E12; 
136,0; 1,4943984469389507E8; 2,401295064546883E8; 6,888054887333748E10; 1,0385413412487692E12; 
137,0; 1,4987375313060725E8; 2,401295064546883E8; 6,903042262646808E10; 1,0387814707552239E12; 
138,0; 1,6251227559003213E8; 9,360129506454681E9; 6,91929349020581E10; 1,0481416002616786E12; 
139,0; 1,5024624125294772E8; 2,401295064546883E8; 6,934318114331105E10; 1,0483817297681333E12; 
140,0; 1,6497675192184898E8; 9,360129506454681E9; 6,95081578952329E10; 1,057741859274588E12; 
141,0; 1,4889960905977353E8; 2,401295064546883E8; 6,965705750429266E10; 1,0579819887810427E12; 
142,0; 1,627793052576937E8; 9,360129506454681E9; 6,981983680955035E10; 1,0673421182874974E12; 
143,0; 1,494884874841912E8; 2,401295064546883E8; 6,996932529703455E10; 1,0675822477939521E12; 
144,0; 1,4829438658658653E8; 2,400518025818818E8; 7,011761968362114E10; 1,067822299596534E12; 
145,0; 1,6232455646020812E8; 2,401295064546883E8; 7,027994424008134E10; 1,0680624291029888E12; 
146,0; 1,497769282028018E8; 2,401295064546883E8; 7,042972116828415E10; 1,0683025586094435E12; 
147,0; 1,657800264207016E8; 9,360129506454681E9; 7,059550119470485E10; 1,0776626881158982E12; 
148,0; 1,4918050669332683E8; 2,401295064546883E8; 7,074468170139818E10; 1,0779028176223529E12; 
149,0; 1,6215266414348903E8; 9,360129506454681E9; 7,090683436554167E10; 1,0872629471288076E12; 
150,0; 1,490070407815417E8; 2,401295064546883E8; 7,105584140632321E10; 1,0875030766352623E12; 
151,0; 1,4956202595189932E8; 2,401295064546883E8; 7,120540343227512E10; 1,087743206141717E12; 
152,0; 1,6198485893871203E8; 9,360129506454681E9; 7,136738829121382E10; 1,0971033356481718E12; 
153,0; 1,5056423112420797E8; 2,401295064546883E8; 7,151795252233803E10; 1,0973434651546265E12; 
154,0; 1,6640368925474876E8; 9,360129506454681E9; 7,168435621159277E10; 1,106703594661081E12; 
155,0; 1,4941072282981408E8; 2,401295064546883E8; 7,183376693442259E10; 1,1069437241675356E12; 
156,0; 1,6235071588335252E8; 9,360129921871881E9; 7,199611765030594E10; 1,1163038540894075E12; 
157,0; 1,4773709230602363E8; 2,4005196874876747E8; 7,214385474261197E10; 1,1165439060581562E12; 
158,0; 1,494561615925641E8; 2,401299218719093E8; 7,229331090420453E10; 1,116784035980028E12; 
159,0; 1,6265767758672968E8; 9,360129921871881E9; 7,245596858179126E10; 1,1261441659019E12; 
160,0; 1,4903351283561912E8; 2,401299218719093E8; 7,260500209462688E10; 1,1263842958237717E12; 
161,0; 1,6480980333267513E8; 9,360129921871881E9; 7,276981189795955E10; 1,1357444257456436E12; 
162,0; 1,4851763107126185E8; 2,401299218719093E8; 7,29183295290308E10; 1,1359845556675154E12; 
163,0; 1,621093975346774E8; 2,401299218719093E8; 7,308043892656549E10; 1,1362246855893872E12; 
164,0; 1,498517567509485E8; 2,401299218719093E8; 7,323029068331644E10; 1,136464815511259E12; 
165,0; 1,480498788872743E8; 2,401299218719093E8; 7,33783405622037E10; 1,1367049454331309E12; 
166,0; 1,632139713989556E8; 9,360129921871881E9; 7,354155453360266E10; 1,1460650753550027E12; 
167,0; 1,5005955474826905E8; 2,401299218719093E8; 7,369161408835094E10; 1,1463052052768745E12; 
168,0; 1,6514686333610642E8; 9,360129921871881E9; 7,385676095168704E10; 1,1556653351987463E12; 
169,0; 1,4894062688217613E8; 2,401299218719093E8; 7,400570157856921E10; 1,1559054651206182E12; 
170,0; 1,630147781773241E8; 9,360129921871881E9; 7,416871635674654E10; 1,16526559504249E12; 
171,0; 1,4878090715279764E8; 2,401299218719093E8; 7,431749726389934E10; 1,1655057249643618E12; 
172,0; 1,4886376061792618E8; 2,401299218719093E8; 7,446636102451726E10; 1,1657458548862336E12; 
173,0; 1,6255554276938006E8; 9,360129921871881E9; 7,462891656728664E10; 1,1751059848081055E12; 
174,0; 1,4916514935674605E8; 2,401299218719093E8; 7,477808171664339E10; 1,1753461147299773E12; 
175,0; 1,642288968293661E8; 9,360129921871881E9; 7,494231061347275E10; 1,184706244651849E12; 
176,0; 1,4848668921196336E8; 2,401299218719093E8; 7,509079730268471E10; 1,184946374573721E12; 
177,0; 1,6219037659917244E8; 2,401299218719093E8; 7,525298767928387E10; 1,1851865044955928E12; 
178,0; 1,4788354834143674E8; 2,401299218719093E8; 7,54008712276253E10; 1,1854266344174646E12; 
179,0; 1,482479714404148E8; 2,401299218719093E8; 7,554911919906572E10; 1,1856667643393364E12; 
180,0; 1,6389094975473535E8; 9,360129921871881E9; 7,571301014882045E10; 1,1950268942612083E12; 
181,0; 1,4985661452455685E8; 2,4005196874876747E8; 7,5862866763345E10; 1,195266946229957E12; 
182,0; 1,6446745134541532E8; 9,360129921871881E9; 7,602733421469041E10; 1,2046270761518289E12; 
183,0; 1,4885600227787513E8; 2,401299218719093E8; 7,617619021696829E10; 1,2048672060737007E12; 
184,0; 1,625689598554557E8; 9,360129921871881E9; 7,633875917682375E10; 1,2142273359955725E12; 
185,0; 1,4957744041676787E8; 2,401299218719093E8; 7,648833661724051E10; 1,2144674659174443E12; 
186,0; 1,4819476953106356E8; 2,401299218719093E8; 7,663653138677158E10; 1,2147075958393162E12; 
187,0; 1,623230656648342E8; 2,401295064546883E8; 7,679885445243642E10; 1,2149477253457708E12; 
188,0; 1,4997689200601852E8; 2,401295064546883E8; 7,694883134444243E10; 1,2151878548522253E12; 
189,0; 1,6542989339031646E8; 9,360129506454681E9; 7,711426123783275E10; 1,22454798435868E12; 
190,0; 1,4798536115617424E8; 2,401295064546883E8; 7,726224659898892E10; 1,2247881138651345E12; 
191,0; 1,6179319594003606E8; 9,360129506454681E9; 7,742403979492896E10; 1,234148243371589E12; 
192,0; 1,5004114302191687E8; 2,400518025818818E8; 7,757408093795087E10; 1,234388295174171E12; 
193,0; 1,49396285953143E8; 2,401295064546883E8; 7,7723477223904E10; 1,2346284246806255E12; 
194,0; 1,6253537057245123E8; 9,360129506454681E9; 7,788601259447646E10; 1,24398855418708E12; 
195,0; 1,4977856247004732E8; 2,401295064546883E8; 7,80357911569465E10; 1,2442286836935347E12; 
