Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
798,0; 571814,635619218; 6529495,216092322; 4,609465956441987E8; 5,210433418770397E9; 
799,0; 571672,2471187994; 6529495,216092322; 4,615182678913175E8; 5,216962913986489E9; 
800,0; 571362,1232031534; 6529495,216092322; 4,6208963001452065E8; 5,223492409202581E9; 
801,0; 572088,4994106907; 6529495,216092322; 4,6266171851393133E8; 5,2300219044186735E9; 
802,0; 572117,6737011678; 6529495,216092322; 4,632338361876325E8; 5,236551399634766E9; 
803,0; 571785,2818435769; 6529495,216092322; 4,638056214694761E8; 5,243080894850858E9; 
804,0; 571778,2169229644; 6529495,216092322; 4,6437739968639904E8; 5,24961039006695E9; 
805,0; 572206,0114179258; 6529495,216092322; 4,6494960569781697E8; 5,256139885283042E9; 
806,0; 571537,5152410265; 6529495,216092322; 4,65521143213058E8; 5,262669380499134E9; 
807,0; 571150,6988004578; 6529495,216092322; 4,6609229391185844E8; 5,269198875715226E9; 
808,0; 571368,3537072858; 6529495,216092322; 4,6666366226556575E8; 5,275728370931318E9; 
809,0; 571684,9697522237; 6529495,216092322; 4,67235347235318E8; 5,28225786614741E9; 
810,0; 571255,0236721667; 6529495,216092322; 4,6780660225899017E8; 5,2887873613635025E9; 
811,0; 571207,610944945; 6529495,216092322; 4,683778098699351E8; 5,295316856579595E9; 
812,0; 571030,6893822056; 6529495,216092322; 4,689488405593173E8; 5,301846351795687E9; 
813,0; 571835,01828526; 6529495,216092322; 4,6952067557760257E8; 5,308375847011779E9; 
814,0; 571929,1548855735; 6529495,216092322; 4,7009260473248816E8; 5,314905342227871E9; 
815,0; 570489,8423620326; 6529495,216092322; 4,706630945748502E8; 5,321434837443963E9; 
816,0; 572566,2374388524; 6529495,216092322; 4,7123566081228906E8; 5,327964332660055E9; 
817,0; 573041,082233113; 6529495,216092322; 4,718087018945222E8; 5,334493827876147E9; 
818,0; 571242,0897966207; 6529495,216092322; 4,723799439843188E8; 5,341023323092239E9; 
819,0; 571559,8812911167; 6529495,216092322; 4,729515038656099E8; 5,3475528183083315E9; 
820,0; 572129,7194365275; 6529495,216092322; 4,735236335850464E8; 5,354082313524424E9; 
821,0; 571771,664213574; 6529495,216092322; 4,7409540524926E8; 5,360611808740516E9; 
822,0; 572926,1656342275; 6529495,216092322; 4,746683314148942E8; 5,367141303956608E9; 
823,0; 570467,7959615655; 6529495,216092322; 4,752387992108558E8; 5,3736707991727E9; 
824,0; 571919,5719358654; 6529495,216092322; 4,758107187827917E8; 5,380200294388792E9; 
825,0; 571800,8442069081; 6529495,216092322; 4,763825196269986E8; 5,386729789604884E9; 
826,0; 571638,6423297906; 6529495,216092322; 4,769541582693284E8; 5,393259284820976E9; 
827,0; 571963,5082975279; 6529495,216092322; 4,775261217776259E8; 5,399788780037068E9; 
828,0; 571175,8087013721; 6529495,216092322; 4,780972975863273E8; 5,40631827525316E9; 
829,0; 571951,4664720179; 6529495,216092322; 4,7866924905279934E8; 5,412847770469253E9; 
830,0; 571602,6108012288; 6529495,216092322; 4,7924085166360056E8; 5,419377265685345E9; 
831,0; 572728,6011713668; 6529495,216092322; 4,7981358026477194E8; 5,425906760901437E9; 
832,0; 571051,5074766686; 6529495,216092322; 4,803846317722486E8; 5,432436256117529E9; 
833,0; 572715,5310516745; 6529495,216092322; 4,809573473033003E8; 5,438965751333621E9; 
834,0; 572387,4652588681; 6529495,216092322; 4,815297347685592E8; 5,445495246549713E9; 
835,0; 572279,6732751402; 6529495,216092322; 4,8210201444183433E8; 5,452024741765805E9; 
836,0; 572188,728726188; 6529495,216092322; 4,8267420317056054E8; 5,458554236981897E9; 
837,0; 572951,4520399525; 6529495,216092322; 4,832471546226005E8; 5,465083732197989E9; 
838,0; 570562,237594707; 6529495,216092322; 4,838177168601952E8; 5,471613227414082E9; 
839,0; 572200,0733445366; 6529495,216092322; 4,8438991693353975E8; 5,478142722630174E9; 
840,0; 572973,7276644863; 6529495,216092322; 4,849628906612042E8; 5,484672217846266E9; 
841,0; 571072,7540998012; 6529481,27238581; 4,85533963415304E8; 5,491201699118651E9; 
842,0; 571345,875217867; 6529481,27238581; 4,8610530929052186E8; 5,497731180391037E9; 
843,0; 571814,7143224054; 6529481,27238581; 4,8667712400484425E8; 5,504260661663423E9; 
844,0; 571764,4410096448; 6529481,27238581; 4,872488884458539E8; 5,510790142935808E9; 
845,0; 571106,981094606; 6529481,27238581; 4,878199954269485E8; 5,517319624208194E9; 
846,0; 572044,4361193115; 6529481,27238581; 4,883920398630678E8; 5,523849105480579E9; 
847,0; 572167,8661866463; 6529481,27238581; 4,889642077292544E8; 5,530378586752965E9; 
848,0; 571862,665958336; 6529481,27238581; 4,8953607039521277E8; 5,536908068025351E9; 
849,0; 572447,4158333811; 6529481,27238581; 4,901085178110461E8; 5,543437549297736E9; 
850,0; 572128,5196014898; 6529481,27238581; 4,906806463306476E8; 5,549967030570122E9; 
851,0; 572285,8261992991; 6529481,27238581; 4,912529321568469E8; 5,556496511842507E9; 
852,0; 571108,3398154781; 6529481,27238581; 4,918240404966624E8; 5,563025993114893E9; 
853,0; 571664,6444149135; 6529481,27238581; 4,923957051410773E8; 5,569555474387279E9; 
854,0; 571833,89859784; 6529481,27238581; 4,929675390396751E8; 5,576084955659664E9; 
855,0; 571902,0609933704; 6529481,27238581; 4,935394411006685E8; 5,58261443693205E9; 
856,0; 571371,1245361067; 6529481,27238581; 4,941108122252046E8; 5,589143918204435E9; 
